date,sentiment_score,mention_count
2021-09-30,0.1161090589231915,90
2021-10-01,0.2362214723165999,94
2021-10-02,0.5146478226986425,116
2021-10-03,0.345220183251334,61
2021-10-04,0.11666837434808747,119
2021-10-05,0.14445329186591235,88
2021-10-06,0.1640241524347892,78
2021-10-07,0.34372465475632324,137
2021-10-08,0.20781239767869314,90
2021-10-09,0.48677208381039755,84
2021-10-10,0.34615626610242406,65
2021-10-11,0.20067763799115232,95
2021-10-12,0.3049447510553443,115
2021-10-13,0.21544819761966838,87
2021-10-14,0.26278843250230094,107
2021-10-15,0.30265477698453713,142
2021-10-16,0.3328843857790973,74
2021-10-17,0.28417136261657794,98
2021-10-18,0.37912857411680995,148
2021-10-19,0.15590209966259344,112
2021-10-20,0.2666074167722943,174
2021-10-21,0.2637225146094958,180
2021-10-22,0.4425194149245759,167
2021-10-23,0.2995922689636548,60
2021-10-24,0.3000904170366434,65
2021-10-25,0.41156448830257764,462
2021-10-26,0.28263251646226195,238
2021-10-27,0.22252431208804502,177
2021-10-28,0.2791297001838684,125
2021-10-29,0.2849097362271062,189
2021-10-30,0.34400767840837176,95
2021-10-31,0.3934205005867313,99
2021-11-01,0.2800815659236177,261
2021-11-02,0.13073001547557553,205
2021-11-03,0.26749843267294077,130
2021-11-04,0.2735133159080608,149
2021-11-05,0.33279127317867924,89
2021-11-06,0.20934155747431135,109
2021-11-07,0.12540641735339986,145
2021-11-08,0.14949084523086723,217
2021-11-09,0.11918578396982221,201
2021-11-10,0.10754043683803902,189
2021-11-11,0.19979297641097316,151
2021-11-12,0.18855199287104052,129
2021-11-13,0.2539418823477151,69
2021-11-14,0.17052236370656682,87
2021-11-15,0.09122082729213285,151
2021-11-16,0.1130611238091491,129
2021-11-17,0.2735055091634261,113
2021-11-18,0.07710667955689132,128
2021-11-19,0.2386331785985125,123
2021-11-20,0.197504627963771,69
2021-11-21,0.2788308461507161,78
2021-11-22,0.2533598179298063,124
2021-11-23,0.21314286783574118,126
2021-11-24,0.17711958349967488,98
2021-11-25,0.41340700133902125,61
2021-11-26,0.13560301133956032,87
2021-11-27,0.2467016488947767,47
2021-11-28,0.26555551859465515,44
2021-11-29,0.25227728301716834,97
2021-11-30,0.24456378361400294,98
2021-12-01,0.22062865106955817,115
2021-12-02,0.2750954985104758,116
2021-12-03,0.18035510080492395,117
2021-12-04,0.2852148150696474,68
2021-12-05,0.4040143800818402,69
2021-12-06,0.23750641627341323,161
2021-12-07,0.14218547709029297,116
2021-12-08,0.2774233543405346,102
2021-12-09,0.0636441484789982,107
2021-12-10,0.2394177547288597,109
2021-12-11,0.21832386372794568,71
2021-12-12,0.19857384001507478,51
2021-12-13,0.2939870502009536,132
2021-12-14,0.09356537282018733,133
2021-12-15,0.29649559919740637,102
2021-12-16,0.13400332838819737,114
2021-12-17,0.24521620373810288,113
2021-12-18,0.3207002585897079,52
2021-12-19,0.25137842458391946,63
2021-12-20,0.24488361559662164,102
2021-12-21,0.2481343021579817,102
2021-12-22,0.2658038633669208,167
2021-12-23,0.2730685395079774,154
2021-12-24,0.44995628889784756,83
2021-12-25,0.6836434152993289,55
2021-12-26,0.32099820908747223,57
2021-12-27,0.42104633794776325,116
2021-12-28,0.30686342602684386,105
2021-12-29,0.23728696814554182,167
2021-12-30,0.10760586193906582,123
2021-12-31,0.2773338286206126,128
2022-01-01,0.28628733408623847,69
2022-01-02,0.3891210653374543,199
2022-01-03,0.33286153415903597,307
2022-01-04,0.1445894296680178,140
2022-01-05,0.15716068040240894,154
2022-01-06,0.26678874935859287,117
2022-01-07,0.1384689145618015,135
2022-01-08,0.19416570248483103,79
2022-01-09,0.16992316288607462,56
2022-01-10,0.2777643539508184,150
2022-01-11,0.22028277527301685,109
2022-01-12,0.2494660281405157,147
2022-01-13,0.07904548102464432,156
2022-01-14,0.2593550499231537,163
2022-01-15,0.2282454220453898,75
2022-01-16,0.06591031986933488,104
2022-01-17,0.28024447502361405,72
2022-01-18,0.194852711576404,99
2022-01-19,0.1576847566826509,101
2022-01-20,0.21637583953829911,104
2022-01-21,-0.0072182426287693046,159
2022-01-22,0.2817390314737956,75
2022-01-23,0.2823262918190878,61
2022-01-24,0.18088934606895213,164
2022-01-25,0.18781599990881173,157
2022-01-26,0.2867920653075929,314
2022-01-27,0.06952018508893001,263
2022-01-28,0.1965003058234638,187
2022-01-29,0.1704543297263709,88
2022-01-30,0.22390096516985641,76
2022-01-31,0.3321981420953765,131
2022-02-01,0.03854458452316753,114
2022-02-02,0.08532808348536491,96
2022-02-03,0.04562566369771957,100
2022-02-04,0.23006440275981102,81
2022-02-05,0.25647767622705914,71
2022-02-06,0.2786222598769448,55
2022-02-07,0.0739295209746763,83
2022-02-08,0.28320389660921963,110
2022-02-09,0.14438718557357788,87
2022-02-10,0.07617127413258833,68
2022-02-11,0.13364875135999738,99
2022-02-12,0.2548936201680091,62
2022-02-13,0.11779120922088623,50
2022-02-14,0.1739990525601203,114
2022-02-15,0.2607560929926959,88
2022-02-16,0.17773333470026653,75
2022-02-17,0.06716049652473599,102
2022-02-18,0.22278276015730464,85
2022-02-19,0.20824785288926717,74
2022-02-20,0.23851034141355945,62
2022-02-21,0.09566135562601544,42
2022-02-22,0.14738461577776565,103
2022-02-23,0.040178639354643886,154
2022-02-24,-0.0021850002824135547,106
2022-02-25,0.21609224892053447,61
2022-02-26,0.1391244043003429,33
2022-02-27,0.3524044445819325,36
2022-02-28,0.2567511773803859,103
2022-03-01,0.3083650763881834,76
2022-03-02,0.13085664175022607,87
2022-03-03,0.08639227814144558,90
2022-03-04,0.18706941381793155,107
2022-03-05,0.14651233298437935,35
2022-03-06,0.3562203610644621,51
